#,player,position,team,avg_rank,median_rank,rank_sd,n_sources
1,Jahmyr Gibbs,RB,DET,1.7142857142857142,1,1.0301575072754254,7
2,Bijan Robinson,RB,ATL,2.5714285714285716,2,0.9035079029052513,7
3,Ja'Marr Chase,WR,CIN,2.7142857142857144,3,1.1605769149479943,7
4,Puka Nacua,WR,LAR,3.2857142857142856,3,1.1605769149479943,7
5,Jaxon Smith-Njigba,WR,SEA,5.714285714285714,5,1.0301575072754254,7
6,Christian McCaffrey,RB,SFO,5.857142857142857,6,1.6413036132965797,7
7,Amon-Ra St. Brown,WR,DET,7.428571428571429,7,1.2936264483053452,7
8,Jonathan Taylor,RB,IND,8,7,1.3093073414159544,7
9,CeeDee Lamb,WR,DAL,10.857142857142858,10,2.996596709057576,7
10,James Cook III,RB,BUF,11.714285714285714,12,2.249716535431946,7
11,Ashton Jeanty,RB,LVR,12.428571428571429,13,3.0639443699324596,7
12,Justin Jefferson,WR,MIN,13.714285714285714,12,4.65109159888563,7
13,De'Von Achane,RB,MIA,13.857142857142858,12,4.120630029101702,7
14,Drake London,WR,ATL,14.571428571428571,14,3.499271061118826,7
15,Chase Brown,RB,CIN,15,15,4.242640687119285,7
16,Saquon Barkley,RB,PHI,18,17,3.4641016151377544,7
17,Nico Collins,WR,HOU,19.714285714285715,21,3.9538150008851565,7
18,A.J. Brown,WR,NEP,19.857142857142858,22,5.938459911664722,7
19,Omarion Hampton,RB,LAC,20,23,5.126959555693246,7
20,Kenneth Walker III,RB,KCC,20.428571428571427,18,3.8861344310672696,7
21,Trey McBride,TE,ARI,21.285714285714285,22,4.948716593053935,7
22,Brock Bowers,TE,LVR,21.571428571428573,23,5.972727131533392,7
23,Rashee Rice,WR,KCC,21.857142857142858,21,6.620931557860839,7
24,Derrick Henry,RB,BAL,23,20,6.969320524371696,7
25,George Pickens,WR,DAL,24,22,5.0990195135927845,7
26,Chris Olave,WR,NOS,27.428571428571427,28,5.038626311013828,7
27,Jeremiyah Love,RB,ARI,27.428571428571427,27,7.499659856232393,7
28,DeVonta Smith,WR,PHI,30,30,3.5456210417116734,7
29,Malik Nabers,WR,NYG,30.857142857142858,28,5.383269623261935,7
30,Breece Hall,RB,NYJ,31.857142857142858,35,7.989789402348322,7
31,Kyren Williams,RB,LAR,32.714285714285715,34,8.344618209434419,7
32,Zay Flowers,WR,BAL,33.42857142857143,33,4.06578556307363,7
33,Josh Allen,QB,BUF,35.142857142857146,29,16.146017389778212,7
34,Garrett Wilson,WR,NYJ,35.285714285714285,34,6.755194524306794,7
35,Josh Jacobs,RB,GBP,37.142857142857146,36,7.586238884201002,7
36,Javonte Williams,RB,DAL,37.142857142857146,37,7.159979477795239,7
37,Tee Higgins,WR,CIN,38.285714285714285,39,6.13454587245254,7
38,Emeka Egbuka,WR,TBB,40.57142857142857,42,6.0676458804558004,7
39,Tetairoa McMillan,WR,CAR,40.714285714285715,42,6.0877930721892906,7
40,Cameron Skattebo,RB,NYG,40.714285714285715,39,9.019253781522627,7
41,Ladd McConkey,WR,LAC,42.285714285714285,40,6.157789160643516,7
42,Travis Etienne Jr.,RB,NOS,43.142857142857146,41,9.948848769417229,7
43,Jaylen Waddle,WR,DEN,45.142857142857146,47,6.468132241526726,7
44,Davante Adams,WR,LAR,46.714285714285715,43,8.048323440573299,7
45,Bucky Irving,RB,TBB,47.857142857142854,51,9.372125409632414,7
46,Colston Loveland,TE,CHI,49.142857142857146,41,18.47336748193055,7
47,Terry McLaurin,WR,WAS,49.285714285714285,49,5.091008480344417,7
48,Jameson Williams,WR,DET,51,52,8.58570240075241,7
49,Lamar Jackson,QB,BAL,51.142857142857146,48,17.811942794722,7
50,D'Andre Swift,RB,CHI,51.57142857142857,52,6.883876458946719,7
51,Quinshon Judkins,RB,CLE,51.857142857142854,54,12.642655365621478,7
52,Drake Maye,QB,NEP,53,52,16.801360489130463,7
53,D.J. Moore,WR,BUF,53.285714285714285,54,7.024737630368141,7
54,Luther Burden III,WR,CHI,57.142857142857146,47,20.03873799439883,7
55,Tyler Warren,TE,IND,57.857142857142854,52,18.878775470493476,7
56,Rome Odunze,WR,CHI,58.857142857142854,59,5.3030603409344526,7
57,Mike Evans,WR,SFO,59.42857142857143,53,9.693254544964214,7
58,David Montgomery,RB,HOU,60.142857142857146,62,6.791351042288407,7
59,Christian Watson,WR,GBP,60.42857142857143,58,12.315578321287031,7
60,Joe Burrow,QB,CIN,61.285714285714285,55,17.950044056565797,7
61,Jayden Daniels,QB,WAS,62,55,17.08800749063506,7
62,Bhayshul Tuten,RB,JAC,64,62,6.436503043467892,7
63,TreVeyon Henderson,RB,NEP,64.28571428571429,63,7.90504876128967,7
64,Jalen Hurts,QB,PHI,64.57142857142857,58,23.62115965979379,7
65,Carnell Tate,WR,TEN,67.42857142857143,71,9.648939880439018,7
66,Parker Washington,WR,JAC,68.57142857142857,68,13.135090873111535,7
67,Jaylen Warren,RB,PIT,70.28571428571429,74,16.068729932158703,7
68,Marvin Harrison Jr.,WR,ARI,71.14285714285714,68,6.70668262531743,7
69,D.K. Metcalf,WR,PIT,71.71428571428571,69,10.09546271088843,7
70,Tony Pollard,RB,TEN,72.85714285714286,68,9.356870225035895,7
71,Rhamondre Stevenson,RB,NEP,74.28571428571429,74,15.350330715044041,7
72,Courtland Sutton,WR,DEN,75.42857142857143,84,13.457415829806498,7
73,Brian Thomas Jr.,WR,JAC,77.28571428571429,78,13.176974351543093,7
74,Kyle Pitts Sr.,TE,ATL,77.85714285714286,72,9.876792009967774,7
75,Michael Pittman Jr.,WR,PIT,78.57142857142857,80,13.59471686099465,7
76,Alec Pierce,WR,IND,79.85714285714286,71,16.965751816346884,7
77,Harold Fannin Jr.,TE,CLE,80.57142857142857,73,18.204058753531886,7
78,Sam LaPorta,TE,DET,81,81,20.42407542932745,7
79,Caleb Williams,QB,CHI,82,87,13.979576940257221,7
80,Rico Dowdle,RB,PIT,84.14285714285714,83,12.799872448344068,7
81,Dak Prescott,QB,DAL,84.57142857142857,80,12.771140936358291,7
82,Josh Downs,WR,IND,85.71428571428571,86,10.165969642661254,7
83,Tucker Kraft,TE,GBP,87,76,25.019992006393608,7
84,Justin Herbert,QB,LAC,87,90,15.77520658682931,7
85,Michael Wilson,WR,ARI,87.28571428571429,88,21.27180753763928,7
86,Chris Godwin Jr.,WR,TBB,89.57142857142857,82,20.61800283287221,7
87,Chuba Hubbard,RB,CAR,90.14285714285714,93,15.07532109516905,7
88,Trevor Lawrence,QB,JAC,92,89,19.3464651625488,7
89,Jadarian Price,RB,SEA,93.14285714285714,71,50.163813284730516,7
90,Jakobi Meyers,WR,JAC,93.71428571428571,98,13.402710660953048,7
